text,label
"USER Gak sensitif nih. Kenapa mesti pake kata bom sih? Nanti orang malah ngiranya ""wah di takjilnya ada bomnya"" gimana? Malah jadi bumerang kan...'",0
USER USER USER USER USER iyalah kampang',1
Bbeuh...beda kelas.!,0
"RT USER: Kata ""kita masih bisa jadi temen atau sahabat"" setelah putus itu ibarat jalan keinjek beling eh pas jalan selangkah lagi keinj\xe2\x80\xa6'",0
USER mata lo picek',1
USER LO TUH BABI ANJING. Mampus kalah jatuh miskin deh bekasisah,1
USER ITULAH si ahok kutil babi,1
USER Sudah di nyinyirin para bani kampret apa belom?',1
"jk ini benar, aparat sdh menjadi alat kekuasaan yg sedang panik, harusnya aparat adalah pelayan masyarakat, bukan pelayan penguasa, tak ada dasar hukumnya tenda ini boleh disita.. Ini Kisah Supriadi, Pemilik Becak Dengan Tenda #2019GantiPresiden -",0
USER USER USER Ngemeng lu dasar ya jelas Nasrani kafir',1
"USER USER USER USER USER USER USER Bahkan anak dan istri nya pun tidak dpat di tolong, karena telah melupakan Tuhan dan menuhankan saint dan tehnology. Begitu pun skrng yg terjadi di sebagian bangsa e",0
"USER USER USER USER USER USER USER USER USER Begitulah model orang2 yang menukar kebenaran dengan kesesatan. Tuli, bisu dan buta melihat kebenaran. Maha Benar Allah dng sgl Firma",0
"USER Udah jelas kita bukan mereka, dan nggak akan pernah jadi seperti mereka. Tapi dalam hal ini kita hanya mengcounter tindakan brutal dari anjing2 FPI itu. Aku sangat yakin jika ada perlawanan dari masyarakat, mereka akan kuncup seperti bu",1
bagusnya PKI PKI macam USER USER dan USER dibubarkan aj dan dijadikan organisasi terlarang.,1
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1
USER Hoax...; Kodok...; Biawak....; meroket...; sekop...; Bangsat...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019PresidenBaru; ; #2019TenggelamkanJokowiKesungaiSiak,1
"Relawan USER Berlin mendukung Anis Matta menjadi Presiden Republik Indonesia. Dari berbagai kalangan: hijaber, model, keluarga global, mahasiswa dll. Kami percaya kepada Anis Matta. USER USER USER USER USER",0
USER pak USER kalo anak buah anda USER mulutnya kayak gini jngan harap rakyat percaya sama USER 2019,1
Tunggu apa lagi?? Batalkan pelantikan Anies Sandi,1
USER USER Bukan caplok tapi Ind beli saham 51% seharga Rp55T.diperlukan Klariikasi. Pelajaran brharga kdepan jngn prnh mudah kasi izin tambang pd asing.',0
RT USER: USER Memang yg bubarkan pki orba... Maka cara orba adalah paling pas. Lanjutken!. Berantas PKI.,1
"Toh kita bukan negara satu agama. Gak akan hilanglah budaya itu cuma karena pengaruh satu agama. Yah kecuali si mayoritas ini masih kayak sekarang sih, rese maksa-maksa orang yang tidak satu agama sekalipun.",1
"USER Memang nggak kasihan ya, paling pasukan nasi bungkus, baju kotak kotak, bayaran lah'",0
KPK Periksa Gubernur dan Cawagub Sumut Ijeck Shah,0
"2 nomer dua2nya indosat dan ada pulsanya, barusan ngeh kalo pulsa udah Rp 0,- padahal ga pernah dipake USER bangke nih emang ~'",1
Lengserkan Jokowi Bangsat!!,1
"14. Seru nih ngobrol sama lu. Sarap juga kayaknya. Btw, suka sama unamenya, bagus.'",0
USER USER Oleh-oleh onta mekkah nya mana?',0
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Li,0
USER Anjir. Dosa gua masih banyak tai wkwk',0
"""Sekali-kali tidak akan masuk surga kecuali orang-orang Yahudi atau Nasrani"". Demikian itu (hanya) angan-angan kosong belaka"" (QS 2:111)'",0
USER Tergantung tempatnya kayaknya. Gw kemarin mengantarkan nyokap ke rumah sakit katolik di sini beres-beres aja sih walaupun rame. Klinik dekat rumah yang bermasalah.',0
USER USER USER USER USER Karena kita jablay berkelas',0
USER wkwkw bodo zof',0
"harusnya pemerintah Indonesia mengeluarkan RUU Anti Budha, biar budha di Indonesia di usir dari Indonesia",1
"USER #mariberteman tapi saya kafir, takutnya waktu pilpres banyak yg unfollow~ kalo enggak #mariberteman dan ngobrol~'",0
USER USER Gue semua cerita angst suka sekalipun yg sad ending ampe mewek beneran gue bacanya gembel banget gasih wkwk',0
USER USER Ferdinand harus pintar jaga congor. Jangan sok jagoan. Lawan kita jokowi bukan teman sendiri. Kulihat kau sudah sering serang sana sini kek orang bego. Kubilang jabatan kau sekarang ini diisi oleh Ruhut Tumpul. Artinya otak ka,1
Wah edan itu fotosyut',0
"USER USER Ini gw baru demen........ smga siapapun cawapres yg akn mendampingi bpk jokowi tdk akn mnjdi celah bgi bani oposan utk merusak kebersamaan koalisi pengusung Joko Widodo, dan smga mampu mendongkrak suara tentunya.'",0
Barel di bom atau ada bom di barel???',0
"RT USER: Karena kadang hidup emang kayak tai. Malah kadang yang berak orang lain tapi elo yang harus beresin tainya, tangan lo y\xe2\x80\xa6'",0
"Mereka cuma tau lo brengsek! tp bagi gue lo itu nggak seperti yg mereka omongin, dan gue yakin lo pasti bisa berubah. :)'",0
Allahu Akbar Gaduh Karena Ahok Rakyat Bersama FPI Bubarkan GMBI Copot Kapolda Jabar penjarakan ahok,1
MS Ka'ban : Tanah Jakarta sekarang sudah 87 persen dikuasai Cina,1
"Siap, mari rapatkan barisan karena target berikut nya adalah lengserkan pak Jokowi , masih dgn isu PKI, pembela kafir, dan pri dan non pri",1
"Gw ngerti kalo abang gw mau ngobrolin ini udah ngumpulin keberanian dulu sampe agak gemeter pas ngomonginnya. Bukannya gw mau ngejelekin status janda atau gimana, tapi di lingkaran pekerjaan ortu gw sangat menjungjung tinggi budaya timur.",0
"Mbah Soleh :"" Ketua DPR: Budaya tak Identik Pertunjukan Seni: Jakarta: Ketua DPR Bambang Soesatyo (Bamsoet) meminta pemerintah menjadikanâ?¦",0
"USER taun lalu aku solo trip ke seoul 9 hari, tanpa tau bahasanya, malah ketemu orang2 yang ngajak ngobrol dengan English seadanya dan bahkan pake Japanese juga. Nunjukkin kalo ternyata mereka ada ketertarikan sama orang asing. Ga ketemu orang j",0
RT USER: USER Puisi Sukmawati puisi sang iblis',1
USER USER taman rezim skrg di 2019; rakyat sudah muak; #2019GantiPresiden,1
USER SI PEREK RT RT LAGI:)',1
PILKADA 2018 ; ; #Indonesia; #KamoanyeBeradap; #TanpaCaciMakiDanFitnah; #Viralkan; #Viral,0
mentari pagi agama kristen pagi ini buat umat nasrani lagu2 nasrani kami hadirkan,0
USER USER USER wah berarti pernah makan bareng sama orang yahudi ya?benar ngga sih kemana pun mereka singgah suatu tempat kalo makan bawa alat makan sendiri? sekedar tanya sepertinya tau tentang orang yahudi',0
"orang yang gaung gaungin kampanye ""pribumi berkuasa"" itu sama kayak white-nationalist di poland yang kampanyein supremasi kulit putih. sama sama relijius-fasis. bedanya judul aja, disana temanya ""katolik kulit putih"" disini ""islam pribumi"".'",0
Hm menyampah pula tengok live FB Paan Khair***din tu. Tak habis2 pusing pasal manifesto PH takde pentingkan agama. Golongan DAP tu ? Cina Kristian hey memang la dah namanya DAP bukan PAS. Eh geram pula aku. Lepas tu dok kata motif terbesar nak jadikan Sel,1
"RT USER: Mantap bgt bro, Udah ganteng, pake dasi, doyan ngentot lagi\xf0\x9f\x8d\x8c\xf0\x9f\x8d\x8c \xf0\x9f\x92\x8b\xf0\x9f\x92\xa6 \xf0\x9f\x98\x98 RT, Like, &amp; Follow #gayvid #gaysex #gayvideo USER\xe2\x80\xa6'",0
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. Dan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0
USER Jan kenceng2 ketawanya kaya kunti aja',0
"USER USER USER Kristen woles aja prof.. Dri timur sampe barat namanya beda2, menyesuaikan tiap daerah termasuk tata cara beribadah nya.. Tetapi masalah keyakinan semua sama.. Kristen nusantara.. \xf0\x9f\x98\x8a'",0
[75:35] kemudian kecelakaanlah bagimu (hai orang kafir) dan kecelakaanlah bagimu.',0
USER Congor baginda apa paham arti mengedepankan dialog???? Baginda cm paham fulus &amp; ngaceng',1
"Baiklah sy nyerah deh klo hestek #2019GantiPresiden diklaim mukidiers ga kan mampu menggusur petahana,,; Sy ikutin hestek #2019TetapJokowiYangDiganti ajah,,",1
USER Pasti cebong ikut2 an gelas nya ada gambar 5 priode cebong\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0
"USER Apasih, gajelas lu bangke'",1
USER Oh kamu dasar bajingan',1
"USER Nah.!!! Itu die.. Waktu thn 1965, anggota dewan yg bangga jadi anak pki, usianya brp ya??'",0
"USER Karena gak pede juga kayaknya.. buktinya kisah-kisah ""profesor yahudi masuk islam karena takjub setelah meneliti bla bla bla..."" masih suka seliweran di grup WA \xf0\x9f\x98\x82'",0
